Country,code,CO2_emission
Afghanistan,AFG,13014.73966
Albania,ALB,6379.207
Algeria,DZA,150551.3766
Andorra,AND,520.18381
Angola,AGO,35389.92827
Anguilla,AIA,152.04524
Antigua and Barbuda,ATG,565.2964
Argentina,ARG,204323.4348
Armenia,ARM,5656.39174
Aruba,ABW,927.86582
Australia,AUS,413092.6545
Austria,AUT,69941.75562
Azerbaijan,AZE,38209.71767
Bahamas,BHS,2564.35048
Bahrain,BHR,34455.69349
Bangladesh,BGD,88057.46051
Barbados,BRB,1322.71499
Belarus,BLR,61371.7927
Belgium,BEL,100116.0119
Belize,BLZ,560.82657
Benin,BEN,7502.06486
Bermuda,BMU,612.07955
Bhutan,BTN,1166.35805
Bolivia,BOL,20885.17638
Bonaire Sint Eustatius and Saba,BES,343.07644
Bosnia and Herzegovina,BIH,26646.89071
Botswana,BWA,7874.98593
Brazil,BRA,476066.7783
British Virgin Islands,VGB,191.0312
Brunei,BRN,10226.87263
Bulgaria,BGR,49071.23314
Burkina Faso,BFA,3334.98127
Burundi,BDI,529.13954
Cambodia,KHM,7938.27463
Cameroon,CMR,7687.19641
Canada,CAN,572782.5858
Cape Verde,CPV,599.97831
Central African Republic,CAF,310.73367
Chad,TCD,728.70755
Chile,CHL,84603.24972
China,CHN,9838754.028
Colombia,COL,81226.8217
Comoros,COM,189.48166
Republic of the Congo,COG,3409.725
Cook Islands,COK,82.04541
Costa Rica,CRI,8695.00805
Cote d'Ivoire,CIV,11724.4078
Croatia,HRV,17181.60246
Cuba,CUB,36504.16192
Curacao,CUW,6253.34778
Cyprus,CYP,7514.68744
Czech Republic,CZE,107895.7557
Democratic Republic of Republic of the Congo,COD,4813.66988
Denmark,DNK,34550.12109
Djibouti,DJI,817.00826
Dominica,DMA,144.24805
Dominican Republic,DOM,21268.77628
Ecuador,ECU,38797.28826
Egypt,EGY,218664.3775
El Salvador,SLV,6992.02378
Equatorial Guinea,GNQ,6714.89214
Eritrea,ERI,793.04838
Estonia,EST,19809.26403
Ethiopia,ETH,13396.24084
Faeroe Islands,FRO,672.9362
Fiji,FJI,1344.38666
Finland,FIN,45956.04416
France,FRA,356300.6512
French Polynesia,PYF,945.68127
Gabon,GAB,5526.42656
Gambia,GMB,622.19004
Georgia,GEO,10951.72417
Germany,DEU,799373.2109
Ghana,GHA,16764.83313
Greece,GRC,76000.36087
Greenland,GRL,569.72513
Grenada,GRD,276.22801
Guatemala,GTM,20878.0467
Guinea,GIN,2904.67809
Guinea-Bissau,GNB,331.33131
Guyana,GUY,2076.5723
Haiti,HTI,2997.93137
Honduras,HND,10669.09628
Hong Kong,HKG,43032.5801
Hungary,HUN,50344.70547
Iceland,ISL,3480.02714
India,IND,2466765.373
Indonesia,IDN,486843.7562
Iran,IRN,672312.3426
Iraq,IRQ,194454.63
Ireland,IRL,39738.35397
Israel,ISR,66553.4116
Italy,ITA,355454.1722
Jamaica,JAM,7772.64941
Japan,JPN,1205061.178
Jordan,JOR,21356.74461
Kazakhstan,KAZ,292588.5166
Kenya,KEN,15818.21983
Kiribati,KIR,73.40905
Kuwait,KWT,104393.492
Kyrgyzstan,KGZ,10433.12845
Laos,LAO,1957.97264
Latvia,LVA,7166.81832
Lebanon,LBN,19546.8014
Lesotho,LSO,2823.8156
Liberia,LBR,1077.77328
Libya,LBY,53387.41207
Liechtenstein,LIE,161.253
Lithuania,LTU,13393.87534
Luxembourg,LUX,9294.68912
Macao,MAC,1512.17278
Macedonia,MKD,7251.46389
Madagascar,MDG,3182.06143
Malawi,MWI,1367.45658
Malaysia,MYS,254575.8712
Maldives,MDV,1571.81727
Mali,MLI,1723.81828
Malta,MLT,1444.48322
Marshall Islands,MHL,120.90902
Mauritania,MRT,2838.70334
Mauritius,MUS,4279.22401
Mexico,MEX,490294.6293
Micronesia (country),FSM,177.04535
Moldova,MDA,5093.58886
Mongolia,MNG,30390.6566
Montenegro,MNE,2627.81465
Montserrat,MSR,50.68175
Morocco,MAR,62725.3015
Mozambique,MOZ,10274.37438
Myanmar,MMR,25333.22399
Namibia,NAM,4065.25638
Nauru,NRU,56.13633
Nepal,NPL,9028.19637
Netherlands,NLD,164045.9455
New Caledonia,NCL,5564.47522
New Zealand,NZL,36013.92697
Nicaragua,NIC,5422.86505
Niger,NER,2485.12155
Nigeria,NGA,107300.8944
Niue,NIU,12.95454
North Korea,PRK,58019.55834
Norway,NOR,44789.85944
Oman,OMN,65186.37898
Pakistan,PAK,198809.969
Palau,PLW,306.59073
Palestine,PSE,2317.99028
Panama,PAN,10058.95114
Papua New Guinea,PNG,7387.4891
Paraguay,PRY,5850.26572
Peru,PER,64781.47674
Philippines,PHL,127607.9631
Poland,POL,326604.5432
Portugal,PRT,54863.55558
Qatar,QAT,129803.3209
Romania,ROU,79995.52475
Russia,RUS,1692794.839
Rwanda,RWA,1024.74005
Saint Helena,SHN,11.69579
Saint Kitts and Nevis,KNA,245.61154
Saint Lucia,LCA,432.74414
